"ID","NAME","TEL","LOCATION","ID_CARD_NUMBER","EMAIL"
"31934013880724","赵八七","139000000087","CITY_DQ","230100202601080008","139000000087@139.com"
"31934013880725","赵八八","139000000088","CITY_SH","230100202601090008","139000000088@139.com"
"31934013880726","赵八九","139000000089","CITY_JX","230100202601100008","139000000089@139.com"
"31934013880727","赵九零","139000000090","CITY_MDJ","230100202601010009","139000000090@139.com"
"31934013880721","赵九一","139000000091","CITY_JMS","230100202601020009","139000000091@139.com"
"31934013880722","赵九二","139000000092","CITY_SH","230100202601030009","139000000092@139.com"
"31934013880723","赵九三","139000000093","CITY_HRB","230100202601040009","139000000093@139.com"
"31934013880724","赵九四","139000000094","CITY_QQHR","230100202601050009","139000000094@139.com"
"31934013880725","赵九五","139000000095","CITY_QQHR","230100202601060009","139000000095@139.com"
"31934013880726","赵九六","139000000096","CITY_HH","230100202601070009","139000000096@139.com"
"31934013880727","赵九七","139000000097","CITY_DQ","230100202601080009","139000000097@139.com"
"31934013880721","赵九八","139000000098","CITY_HRB","230100202601090009","139000000098@139.com"
"31934013880722","赵九九","139000000099","CITY_HRB","230100202601100009","139000000099@139.com"
"31934013880723","钱零零","139000000100","CITY_SYS","230100202601010010","139000000100@139.com"
"31934013880724","钱零一","139000000101","CITY_DXAL","230100202601020010","139000000101@139.com"
"31934013880725","钱零二","139000000102","CITY_JX","230100202601030010","139000000102@139.com"
"31934013880726","钱零三","139000000103","CITY_YC","230100202601040010","139000000103@139.com"
"31934013880727","钱零四","139000000104","CITY_HRB","230100202601050010","139000000104@139.com"
"31934013880721","钱零五","139000000105","CITY_HRB","230100202601060010","139000000105@139.com"
"31934013880722","钱零六","139000000106","CITY_QQHR","230100202601070010","139000000106@139.com"
"31934013880723","钱零七","139000000107","CITY_HRB","230100202601080010","139000000107@139.com"
"31934013880724","钱零八","139000000108","CITY_HRB","230100202601090010","139000000108@139.com"
"31934013880725","钱零九","139000000109","CITY_HRB29","230100202601100010","139000000109@139.com"
"31934013880726","钱一零","139000000110","CITY_HRB","230100202601010011","139000000110@139.com"
"31934013880727","钱一一","139000000111","CITY_JMS","230100202601020011","139000000111@139.com"
"31934013880721","钱一二","139000000112","CITY_HRB","230100202601030011","139000000112@139.com"
"31934013880722","钱一三","139000000113","CITY_JMS","230100202601040011","139000000113@139.com"
"31934013880723","钱一四","139000000114","CITY_HRB","230100202601050011","139000000114@139.com"
"31934013880724","钱一五","139000000115","CITY_JMS","230100202601060011","139000000115@139.com"
"31934013880725","钱一六","139000000116","CITY_HRB","230100202601070011","139000000116@139.com"
"31934013880726","钱一七","139000000117","CITY_HRB29","230100202601080011","139000000117@139.com"
"31934013880727","钱一八","139000000118","CITY_HRB","230100202601090011","139000000118@139.com"
"31934013880721","钱一九","139000000119","CITY_MDJ","230100202601100011","139000000119@139.com"
"31934013880722","钱二零","139000000120","CITY_HRB","230100202601010012","139000000120@139.com"
"31934013880723","钱二一","139000000121","CITY_DQ","230100202601020012","139000000121@139.com"
"31934013880724","钱二二","139000000122","CITY_YC","230100202601030012","139000000122@139.com"
"31934013880725","钱二三","139000000123","CITY_WCJ","230100202601040012","139000000123@139.com"
"31934013880726","钱二四","139000000124","CITY_HH","230100202601050012","139000000124@139.com"
"31934013880727","钱二五","139000000125","CITY_SYS","230100202601060012","139000000125@139.com"
"31934013880721","钱二六","139000000126","CITY_HRB","230100202601070012","139000000126@139.com"
"31934013880722","钱二七","139000000127","CITY_HRB","230100202601080012","139000000127@139.com"
"31934013880723","钱二八","139000000128","CITY_HRB","230100202601090012","139000000128@139.com"
"31934013880724","钱二九","139000000129","CITY_HRB","230100202601100012","139000000129@139.com"
"31934013880725","钱三零","139000000130","CITY_SH","230100202601010013","139000000130@139.com"
"31934013880726","钱三一","139000000131","CITY_HG","230100202601020013","139000000131@139.com"
"31934013880727","钱三二","139000000132","CITY_HRB","230100202601030013","139000000132@139.com"
"31934013880721","钱三三","139000000133","CITY_QQHR","230100202601040013","139000000133@139.com"
"31934013880722","钱三四","139000000134","CITY_HRB","230100202601050013","139000000134@139.com"
"31934013880723","钱三五","139000000135","CITY_DQ","230100202601060013","139000000135@139.com"
"31934013880724","钱三六","139000000136","CITY_MDJ","230100202601070013","139000000136@139.com"
"31934013880725","钱三七","139000000137","CITY_HRB","230100202601080013","139000000137@139.com"
"31934013880726","钱三八","139000000138","CITY_SH","230100202601090013","139000000138@139.com"
"31934013880727","钱三九","139000000139","CITY_QQHR","230100202601100013","139000000139@139.com"
"31934013880721","钱四零","139000000140","CITY_JMS","230100202601010014","139000000140@139.com"
"31934013880722","钱四一","139000000141","CITY_HRB","230100202601020014","139000000141@139.com"
"31934013880723","钱四二","139000000142","CITY_DQ","230100202601030014","139000000142@139.com"
"31934013880724","钱四三","139000000143","CITY_JX","230100202601040014","139000000143@139.com"
"31934013880725","钱四四","139000000144","CITY_HRB","230100202601050014","139000000144@139.com"
"31934013880726","钱四五","139000000145","CITY_DQ","230100202601060014","139000000145@139.com"
"31934013880727","钱四六","139000000146","CITY_DXAL","230100202601070014","139000000146@139.com"
"31934013880721","钱四七","139000000147","CITY_DQ","230100202601080014","139000000147@139.com"
"31934013880722","钱四八","139000000148","CITY_HRB","230100202601090014","139000000148@139.com"
"31934013880723","钱四九","139000000149","CITY_DQ","230100202601100014","139000000149@139.com"
"31934013880724","钱五零","139000000150","CITY_QQHR","230100202601010015","139000000150@139.com"
"31934013880725","钱五一","139000000151","CITY_SH","230100202601020015","139000000151@139.com"
"31934013880726","钱五二","139000000152","CITY_HRB","230100202601030015","139000000152@139.com"
"31934013880727","钱五三","139000000153","CITY_HRB","230100202601040015","139000000153@139.com"
"31934013880721","钱五四","139000000154","CITY_SH","230100202601050015","139000000154@139.com"
